name,price,mrp,rating,url
"THIRD WAVE COFFEE Arabica Monsoon Malabar Coffee, Medium Roast, Coarse Grind for French Press Style, 250g",540,,4.2 out of 5 stars,https://amazon.in/sspa/click?ie=UTF8&spc=MToyODA2NjY0NjI2MDk4OTI4OjE3Njc2MjAwNjA6c3BfcGhvbmVfc2VhcmNoX210ZjozMDA2MjYzNjAxMDk2MzI6OjA6Og&url=%2FTHIRD-WAVE-COFFEE-Arabica-Monsoon%2Fdp%2FB0FFN32HTY%2Fref%3Dmp_s_a_1_11_sspa%3Fdib%3DeyJ2IjoiMSJ9.g1VgRDPZsXijxaZs907ybhHXmaxr2z5I2-uf0_UfQBSiIrTseSeQ9___6EM9NKaAILA6-cmDV4WlgTwye-MQJtekWKESq0xNKHskuXTJ3vgCS1xrzRumI_UoK6UqmAryy3OXWsX7wJ3MYLGHm0wnCuv5jAPxfw6EfAuw1eBE3eXS9i2SX841MRDGndWhVRdUUPauM1Qv_-wLUmwyi97crQ.eHuvDDi34qg-FIG_duqs9ks0WNQuSncEeDsTmt7bZPQ%26dib_tag%3Dse%26keywords%3Dcoffee%2Bpowder%26qid%3D1767620060%26sr%3D8-11-spons%26aref%3DW9gpnH34Ws%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfbXRm%26psc%3D1&aref=W9gpnH34Ws&sp_cr=ZAZ
PERCOL Premium Instant Coffee | Espresso Noir Blend 22 | Crafted with Premium Imported Beans | Freeze Dried | Designed in UK | 100g Jar | 100% Pure Coffee | Flavorful & Aromatic,639,₹639,3.9 out of 5 stars,https://amazon.in/sspa/click?ie=UTF8&spc=MToyODA2NjY0NjI2MDk4OTI4OjE3Njc2MjAwNjA6c3BfcGhvbmVfc2VhcmNoX210ZjozMDA1MDg3Mzg4ODMyMzI6OjA6Og&url=%2FPERCOL-Espresso-Designed-Flavorful-Aromatic%2Fdp%2FB0DYZPNDNN%2Fref%3Dmp_s_a_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.g1VgRDPZsXijxaZs907ybhHXmaxr2z5I2-uf0_UfQBSiIrTseSeQ9___6EM9NKaAILA6-cmDV4WlgTwye-MQJtekWKESq0xNKHskuXTJ3vgCS1xrzRumI_UoK6UqmAryy3OXWsX7wJ3MYLGHm0wnCuv5jAPxfw6EfAuw1eBE3eXS9i2SX841MRDGndWhVRdUUPauM1Qv_-wLUmwyi97crQ.eHuvDDi34qg-FIG_duqs9ks0WNQuSncEeDsTmt7bZPQ%26dib_tag%3Dse%26keywords%3Dcoffee%2Bpowder%26qid%3D1767620060%26sr%3D8-12-spons%26aref%3DkYhmbBfVkG%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfbXRm%26psc%3D1&aref=kYhmbBfVkG&sp_cr=ZAZ
"Bru Green Label Filter Coffee Powder 500 Gram Bag, Lightly Roasted Ground Coffee Beans From South India - Rich & Strong Blend Of Coffee & Chicory",366,₹72.91,4.3 out of 5 stars,https://amazon.in/Filter-Coffee-Powder-Lightly-Roasted/dp/B0022H79MG/ref=mp_s_a_1_13?dib=eyJ2IjoiMSJ9.g1VgRDPZsXijxaZs907ybhHXmaxr2z5I2-uf0_UfQBSiIrTseSeQ9___6EM9NKaAILA6-cmDV4WlgTwye-MQJtekWKESq0xNKHskuXTJ3vgCS1xrzRumI_UoK6UqmAryy3OXWsX7wJ3MYLGHm0wnCuv5jAPxfw6EfAuw1eBE3eXS9i2SX841MRDGndWhVRdUUPauM1Qv_-wLUmwyi97crQ.eHuvDDi34qg-FIG_duqs9ks0WNQuSncEeDsTmt7bZPQ&dib_tag=se&keywords=coffee+powder&qid=1767620060&sr=8-13
"Bevzilla 200 Gram Classic Instant Coffee Powder Jar | Arabica Coffee | Best for Espresso, Latte & Cappucino | Hot & Cold Brews",332,₹166,3.9 out of 5 stars,https://amazon.in/Bevzilla-Arabica-Espresso-Cappucino-Unbreakable/dp/B0BPSDDXT2/ref=mp_s_a_1_14?dib=eyJ2IjoiMSJ9.g1VgRDPZsXijxaZs907ybhHXmaxr2z5I2-uf0_UfQBSiIrTseSeQ9___6EM9NKaAILA6-cmDV4WlgTwye-MQJtekWKESq0xNKHskuXTJ3vgCS1xrzRumI_UoK6UqmAryy3OXWsX7wJ3MYLGHm0wnCuv5jAPxfw6EfAuw1eBE3eXS9i2SX841MRDGndWhVRdUUPauM1Qv_-wLUmwyi97crQ.eHuvDDi34qg-FIG_duqs9ks0WNQuSncEeDsTmt7bZPQ&dib_tag=se&keywords=coffee+powder&qid=1767620060&sr=8-14
"Bevzilla 400 Gram (200GMx2) Classic Instant Coffee Powder | Arabica Beans | Perfact For Espresso, Latte & Cappucino | Enjoy Hot & Cold",569,₹142.25,3.9 out of 5 stars,https://amazon.in/Bevzilla-200GMx2-Classic-Espresso-Cappucino/dp/B0F9YCG8RG/ref=mp_s_a_1_15?dib=eyJ2IjoiMSJ9.g1VgRDPZsXijxaZs907ybhHXmaxr2z5I2-uf0_UfQBSiIrTseSeQ9___6EM9NKaAILA6-cmDV4WlgTwye-MQJtekWKESq0xNKHskuXTJ3vgCS1xrzRumI_UoK6UqmAryy3OXWsX7wJ3MYLGHm0wnCuv5jAPxfw6EfAuw1eBE3eXS9i2SX841MRDGndWhVRdUUPauM1Qv_-wLUmwyi97crQ.eHuvDDi34qg-FIG_duqs9ks0WNQuSncEeDsTmt7bZPQ&dib_tag=se&keywords=coffee+powder&qid=1767620060&sr=8-15
Continental Malgudi Filter Coffee Powder | 200g Pouch | 80% Coffee - 20% Chicory | Traditional South Indian | Smooth Flavour | Locks Real Aroma | Roast & Ground,189,₹94.50,4.1 out of 5 stars,https://amazon.in/Continental-Malgudi-Filter-Coffee-Powder/dp/B07HRJXLTZ/ref=mp_s_a_1_16?dib=eyJ2IjoiMSJ9.g1VgRDPZsXijxaZs907ybhHXmaxr2z5I2-uf0_UfQBSiIrTseSeQ9___6EM9NKaAILA6-cmDV4WlgTwye-MQJtekWKESq0xNKHskuXTJ3vgCS1xrzRumI_UoK6UqmAryy3OXWsX7wJ3MYLGHm0wnCuv5jAPxfw6EfAuw1eBE3eXS9i2SX841MRDGndWhVRdUUPauM1Qv_-wLUmwyi97crQ.eHuvDDi34qg-FIG_duqs9ks0WNQuSncEeDsTmt7bZPQ&dib_tag=se&keywords=coffee+powder&qid=1767620060&sr=8-16
NESCAFE Classic Instant Coffee Powder | Great start to your morning | 100% Pure Coffee | 200g Pouch,720,₹360,4.4 out of 5 stars,https://amazon.in/Nescaf%C3%A9-Classic-Coffee-200g-Stabilo/dp/B00VJZ0OCY/ref=mp_s_a_1_17?dib=eyJ2IjoiMSJ9.g1VgRDPZsXijxaZs907ybhHXmaxr2z5I2-uf0_UfQBSiIrTseSeQ9___6EM9NKaAILA6-cmDV4WlgTwye-MQJtekWKESq0xNKHskuXTJ3vgCS1xrzRumI_UoK6UqmAryy3OXWsX7wJ3MYLGHm0wnCuv5jAPxfw6EfAuw1eBE3eXS9i2SX841MRDGndWhVRdUUPauM1Qv_-wLUmwyi97crQ.eHuvDDi34qg-FIG_duqs9ks0WNQuSncEeDsTmt7bZPQ&dib_tag=se&keywords=coffee+powder&qid=1767620060&sr=8-17
NESCAFE Classic Instant Coffee Powder | Great start to your morning | 100% Pure Coffee | 24g Jar,121,₹504.17,4.5 out of 5 stars,https://amazon.in/Nescaf%C3%A9-Classic-Coffee-25g-Glass/dp/B00O8WUZVK/ref=mp_s_a_1_18?dib=eyJ2IjoiMSJ9.g1VgRDPZsXijxaZs907ybhHXmaxr2z5I2-uf0_UfQBSiIrTseSeQ9___6EM9NKaAILA6-cmDV4WlgTwye-MQJtekWKESq0xNKHskuXTJ3vgCS1xrzRumI_UoK6UqmAryy3OXWsX7wJ3MYLGHm0wnCuv5jAPxfw6EfAuw1eBE3eXS9i2SX841MRDGndWhVRdUUPauM1Qv_-wLUmwyi97crQ.eHuvDDi34qg-FIG_duqs9ks0WNQuSncEeDsTmt7bZPQ&dib_tag=se&keywords=coffee+powder&qid=1767620060&sr=8-18
"Nescafe Classic Instant Coffee Powder | Great start to your morning | 100% Pure Coffee | Free Red Mug | 180g, Box",,,4.4 out of 5 stars,https://amazon.in/NESCAFE-Classic-Instant-Robusta-Roasted/dp/B0C61RYKSH/ref=mp_s_a_1_19?dib=eyJ2IjoiMSJ9.g1VgRDPZsXijxaZs907ybhHXmaxr2z5I2-uf0_UfQBSiIrTseSeQ9___6EM9NKaAILA6-cmDV4WlgTwye-MQJtekWKESq0xNKHskuXTJ3vgCS1xrzRumI_UoK6UqmAryy3OXWsX7wJ3MYLGHm0wnCuv5jAPxfw6EfAuw1eBE3eXS9i2SX841MRDGndWhVRdUUPauM1Qv_-wLUmwyi97crQ.eHuvDDi34qg-FIG_duqs9ks0WNQuSncEeDsTmt7bZPQ&dib_tag=se&keywords=coffee+powder&qid=1767620060&sr=8-19
"Bevzilla 200 Gram Hazelnut Flavoured Instant Coffee Powder Jar | Arabica Beans | Best for Espresso, Latte & Cappucino | Hot & Cold Brew Ready",299,₹149.50,3.9 out of 5 stars,https://amazon.in/Bevzilla-Hazelnut-Espresso-Cappucino-Unbreakable/dp/B0CJC27NV4/ref=mp_s_a_1_20?dib=eyJ2IjoiMSJ9.g1VgRDPZsXijxaZs907ybhHXmaxr2z5I2-uf0_UfQBSiIrTseSeQ9___6EM9NKaAILA6-cmDV4WlgTwye-MQJtekWKESq0xNKHskuXTJ3vgCS1xrzRumI_UoK6UqmAryy3OXWsX7wJ3MYLGHm0wnCuv5jAPxfw6EfAuw1eBE3eXS9i2SX841MRDGndWhVRdUUPauM1Qv_-wLUmwyi97crQ.eHuvDDi34qg-FIG_duqs9ks0WNQuSncEeDsTmt7bZPQ&dib_tag=se&keywords=coffee+powder&qid=1767620060&sr=8-20
