name,price,mrp,rating,url
Amazon Brand – Metal Die Cast 1:37 Bug | Orange | Collectible & Durable,369,"₹1,099",4.1 out of 5 stars,https://amazon.in/sspa/click?ie=UTF8&spc=MTo2ODExMDIzNzAzODIwNTQyOjE3Njc2MTg1ODc6c3BfcGhvbmVfc2VhcmNoX210ZjozMDA3NTEwODA5OTk2MzI6OjA6Og&url=%2FAmazon-Brand-Orange-Collectible-Durable%2Fdp%2FB0FKZ42MJQ%2Fref%3Dmp_s_a_1_11_sspa%3Fdib%3DeyJ2IjoiMSJ9.OJ5PURluPSfMRxByV5g_YYoaqL76sdsfwGHWvxnNA1Wi13TOEYFgxyM1w1FfOf5Sr1_126dLoId-3gnGDxZDptZOPeKo8gacD4qCHwFTrByaCVih4AFiUeVbMBSKKTFp4UUNM0xbtpVKxbYZcQhjcAkTRjmfaGJBtVF0cULp-NwKEGHuXrGJme9eK4vra5f3_Q1TNhBGPsBkHp7JN-IXxA.ilQKBDbvzQMjnLcxU1R1lDU-Z7Yu6ldJyXDElTasEPI%26dib_tag%3Dse%26keywords%3Dtoy%2Bcars%26qid%3D1767618587%26sr%3D8-11-spons%26aref%3DQrc6nb0E8C%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfbXRm%26psc%3D1&aref=Qrc6nb0E8C&sp_cr=ZAZ
"48 Pcs Pull Back Car Set for 3+ Kids, Container Storage Box - Learning & Educational Stuffers Mini Cars, Tay Car Set, Racing Pattern | Perfect for Kids, Children, Boys & Girls",994,"₹1,599",5.0 out of 5 stars,https://amazon.in/sspa/click?ie=UTF8&spc=MTo2ODExMDIzNzAzODIwNTQyOjE3Njc2MTg1ODc6c3BfcGhvbmVfc2VhcmNoX210ZjozMDA4ODA4NTMxNjkwMzI6OjA6Og&url=%2FGITGRNTH-Pull-Back-Container-Storage%2Fdp%2FB0G64TYT1Z%2Fref%3Dmp_s_a_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.OJ5PURluPSfMRxByV5g_YYoaqL76sdsfwGHWvxnNA1Wi13TOEYFgxyM1w1FfOf5Sr1_126dLoId-3gnGDxZDptZOPeKo8gacD4qCHwFTrByaCVih4AFiUeVbMBSKKTFp4UUNM0xbtpVKxbYZcQhjcAkTRjmfaGJBtVF0cULp-NwKEGHuXrGJme9eK4vra5f3_Q1TNhBGPsBkHp7JN-IXxA.ilQKBDbvzQMjnLcxU1R1lDU-Z7Yu6ldJyXDElTasEPI%26dib_tag%3Dse%26keywords%3Dtoy%2Bcars%26qid%3D1767618587%26sr%3D8-12-spons%26aref%3DicaXt5rgtF%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfbXRm%26psc%3D1&aref=icaXt5rgtF&sp_cr=ZAZ
"PRIME DEALS Diecast 1:36 Defender Toy Car Metal Body Openable Doors, Bonnet & Boot Pull-Back Action for Kids Diecast Model (Multi Color)",398,₹999,3.9 out of 5 stars,https://amazon.in/PRIME-DEALS-Diecast-Defender-Pull-Back/dp/B0DQ5BWQQ4/ref=mp_s_a_1_13?dib=eyJ2IjoiMSJ9.OJ5PURluPSfMRxByV5g_YYoaqL76sdsfwGHWvxnNA1Wi13TOEYFgxyM1w1FfOf5Sr1_126dLoId-3gnGDxZDptZOPeKo8gacD4qCHwFTrByaCVih4AFiUeVbMBSKKTFp4UUNM0xbtpVKxbYZcQhjcAkTRjmfaGJBtVF0cULp-NwKEGHuXrGJme9eK4vra5f3_Q1TNhBGPsBkHp7JN-IXxA.ilQKBDbvzQMjnLcxU1R1lDU-Z7Yu6ldJyXDElTasEPI&dib_tag=se&keywords=toy+cars&qid=1767618587&sr=8-13
Sky Tech® Rolls Royce Phantom Model Car 1:32 Scale Exclusive Alloy Metal Pull Back Die-cast Car Toy with Openable Doors & Light Music Boys Toys for Kids (Phantom 1:32)【Colors as Per Stock】,670,"₹1,999",4.0 out of 5 stars,https://amazon.in/Sky-Tech%C2%AE-Rolls-Royce-Phantom/dp/B0CHFVH9VL/ref=mp_s_a_1_14?dib=eyJ2IjoiMSJ9.OJ5PURluPSfMRxByV5g_YYoaqL76sdsfwGHWvxnNA1Wi13TOEYFgxyM1w1FfOf5Sr1_126dLoId-3gnGDxZDptZOPeKo8gacD4qCHwFTrByaCVih4AFiUeVbMBSKKTFp4UUNM0xbtpVKxbYZcQhjcAkTRjmfaGJBtVF0cULp-NwKEGHuXrGJme9eK4vra5f3_Q1TNhBGPsBkHp7JN-IXxA.ilQKBDbvzQMjnLcxU1R1lDU-Z7Yu6ldJyXDElTasEPI&dib_tag=se&keywords=toy+cars&qid=1767618587&sr=8-14
Wembley Rc Monster Truck| Remote Control Car for Kids| Rock Crawler 5 Function 1:18 RC Car Toys for Boys| 2WD Off-Road High Speed Remote Toys for Kids 5 Years 12 (Black),699,"₹1,599",3.8 out of 5 stars,https://amazon.in/Wembley-Monster-Control-Crawler-Function/dp/B0D4ZG8TYQ/ref=mp_s_a_1_15?dib=eyJ2IjoiMSJ9.OJ5PURluPSfMRxByV5g_YYoaqL76sdsfwGHWvxnNA1Wi13TOEYFgxyM1w1FfOf5Sr1_126dLoId-3gnGDxZDptZOPeKo8gacD4qCHwFTrByaCVih4AFiUeVbMBSKKTFp4UUNM0xbtpVKxbYZcQhjcAkTRjmfaGJBtVF0cULp-NwKEGHuXrGJme9eK4vra5f3_Q1TNhBGPsBkHp7JN-IXxA.ilQKBDbvzQMjnLcxU1R1lDU-Z7Yu6ldJyXDElTasEPI&dib_tag=se&keywords=toy+cars&qid=1767618587&sr=8-15
"Storio Mini Racing Metal Cars Set for Kids Pack of 10 | Pull Back Vehicles | Khilona Car Toy Set for Boys | Birthday Gift, Return Gift, Diwali Toys (Racing Cars)",299,₹799,4.1 out of 5 stars,https://amazon.in/Storio-Cars-Set-10-Vehicles/dp/B0FL2JBKXF/ref=mp_s_a_1_16?dib=eyJ2IjoiMSJ9.OJ5PURluPSfMRxByV5g_YYoaqL76sdsfwGHWvxnNA1Wi13TOEYFgxyM1w1FfOf5Sr1_126dLoId-3gnGDxZDptZOPeKo8gacD4qCHwFTrByaCVih4AFiUeVbMBSKKTFp4UUNM0xbtpVKxbYZcQhjcAkTRjmfaGJBtVF0cULp-NwKEGHuXrGJme9eK4vra5f3_Q1TNhBGPsBkHp7JN-IXxA.ilQKBDbvzQMjnLcxU1R1lDU-Z7Yu6ldJyXDElTasEPI&dib_tag=se&keywords=toy+cars&qid=1767618587&sr=8-16
"Mini Metal Car for Kids, Pack of 4 Mini Racers Series Diecast Cars Suitable for Children, Movie Vehicle Racing Cars for Small Racing Car Unbreakable for Kids - Multicolor",264,₹999,4.2 out of 5 stars,https://amazon.in/Kiddie-Galaxia-Suitable-Children-Unbreakable/dp/B0DKTFJ1HK/ref=mp_s_a_1_17?dib=eyJ2IjoiMSJ9.OJ5PURluPSfMRxByV5g_YYoaqL76sdsfwGHWvxnNA1Wi13TOEYFgxyM1w1FfOf5Sr1_126dLoId-3gnGDxZDptZOPeKo8gacD4qCHwFTrByaCVih4AFiUeVbMBSKKTFp4UUNM0xbtpVKxbYZcQhjcAkTRjmfaGJBtVF0cULp-NwKEGHuXrGJme9eK4vra5f3_Q1TNhBGPsBkHp7JN-IXxA.ilQKBDbvzQMjnLcxU1R1lDU-Z7Yu6ldJyXDElTasEPI&dib_tag=se&keywords=toy+cars&qid=1767618587&sr=8-17
Tesla Cyber Truck Camping Pickup RV with Motorcycle 1:32 Model Car Alloy Metal Pull Back Die-cast Metal Toy car with Openable Doors & Light Music Gifts Toys Kids【Colors as Per Stock】,804,"₹1,999",4.2 out of 5 stars,https://amazon.in/Kiddie-Galaxia-Camping-Pickup-Motorcycle/dp/B0FPBDX1WB/ref=mp_s_a_1_18?dib=eyJ2IjoiMSJ9.OJ5PURluPSfMRxByV5g_YYoaqL76sdsfwGHWvxnNA1Wi13TOEYFgxyM1w1FfOf5Sr1_126dLoId-3gnGDxZDptZOPeKo8gacD4qCHwFTrByaCVih4AFiUeVbMBSKKTFp4UUNM0xbtpVKxbYZcQhjcAkTRjmfaGJBtVF0cULp-NwKEGHuXrGJme9eK4vra5f3_Q1TNhBGPsBkHp7JN-IXxA.ilQKBDbvzQMjnLcxU1R1lDU-Z7Yu6ldJyXDElTasEPI&dib_tag=se&keywords=toy+cars&qid=1767618587&sr=8-18
Sky Tech® Range Rover Defender 1:32 Scale Model Car Exclusive Alloy Metal Pull Back Die-cast Car Metal Pullback Toy car with Openable Doors & Light Music Best Gifts Toys Kids【Colors as Per Stock】,649,"₹1,999",4.0 out of 5 stars,https://amazon.in/Sky-Tech%C2%AE-Range-Rover-Defender/dp/B0D5VS6RD2/ref=mp_s_a_1_19?dib=eyJ2IjoiMSJ9.OJ5PURluPSfMRxByV5g_YYoaqL76sdsfwGHWvxnNA1Wi13TOEYFgxyM1w1FfOf5Sr1_126dLoId-3gnGDxZDptZOPeKo8gacD4qCHwFTrByaCVih4AFiUeVbMBSKKTFp4UUNM0xbtpVKxbYZcQhjcAkTRjmfaGJBtVF0cULp-NwKEGHuXrGJme9eK4vra5f3_Q1TNhBGPsBkHp7JN-IXxA.ilQKBDbvzQMjnLcxU1R1lDU-Z7Yu6ldJyXDElTasEPI&dib_tag=se&keywords=toy+cars&qid=1767618587&sr=8-19
"Centy Toys Plastic Police Interceptor Fortune Pull Back Car, Number Of Pieces: 1, Black, Kid",269,₹374,4.0 out of 5 stars,https://amazon.in/Centy-Toys-Police-Interceptor-Fortune/dp/B01G5CSITG/ref=mp_s_a_1_20?dib=eyJ2IjoiMSJ9.OJ5PURluPSfMRxByV5g_YYoaqL76sdsfwGHWvxnNA1Wi13TOEYFgxyM1w1FfOf5Sr1_126dLoId-3gnGDxZDptZOPeKo8gacD4qCHwFTrByaCVih4AFiUeVbMBSKKTFp4UUNM0xbtpVKxbYZcQhjcAkTRjmfaGJBtVF0cULp-NwKEGHuXrGJme9eK4vra5f3_Q1TNhBGPsBkHp7JN-IXxA.ilQKBDbvzQMjnLcxU1R1lDU-Z7Yu6ldJyXDElTasEPI&dib_tag=se&keywords=toy+cars&qid=1767618587&sr=8-20
